study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
pastry,,,,0,0,0,9,,,,,0.04092640004819259,,0.009407100034877658,0.04092640004819259,0.04092640004819259,6.247190200025216,1,6.211683000030462,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
phone,,,,0,1,1,2,,,,,6.266149900038727,,6.247526400024071,6.266149900038727,6.266149900038727,8.45558930002153,1,2.18154640001012,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
police,,,,0,2,2,12,,,,,8.490662800031714,,8.456085800018627,8.490662800031714,8.490662800031714,14.347382100007962,1,5.861958500056062,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
chart,,,,0,3,3,6,,,,,14.36778220004635,,14.347611400007736,14.36778220004635,14.36778220004635,15.964848800038453,1,1.5902347000082955,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
case,,,,0,4,4,10,,,,,15.988029600004666,,15.965446200047154,15.988029600004666,15.988029600004666,17.147181200038176,1,1.1523331999778748,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
book,,,,0,5,5,0,,,,,17.16199430002598,,17.147416800027713,17.16199430002598,17.16199430002598,18.197258200030774,1,1.0288153000292368,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
poster,,,,0,6,6,14,,,,,18.212654900038615,,18.19753630005289,18.212654900038615,18.212654900038615,19.363826900022104,1,1.1452735000057146,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
t-shirt,,,,0,7,7,7,,,,,19.381196100031957,,19.364052700053435,19.381196100031957,19.381196100031957,20.430516100022942,1,1.0436806000070646,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
board,,,,0,8,8,4,,,,,20.447025700006634,,20.430744600016624,20.447025700006634,20.447025700006634,21.464461100054905,1,1.013361299992539,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
marble,,,,0,9,9,3,,,,,21.480115100042894,,21.46469100000104,21.480115100042894,21.480115100042894,22.647357300040312,1,1.1610041999956593,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
cushion,,,,0,10,10,1,,,,,22.662625200056937,,22.647588000050746,22.662625200056937,22.662625200056937,23.833247300004587,1,1.1649329999927431,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
keys,,,,0,11,11,13,,,,,23.85446330002742,,23.833499700005632,23.85446330002742,23.85446330002742,25.02702090004459,1,1.1695076000178233,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
laptop,,,,0,12,12,5,,,,,25.059278500033543,,25.02771940000821,25.059278500033543,25.059278500033543,26.30483410001034,1,1.246347300009802,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
cruise,,,,0,13,13,11,,,,,26.3384681000025,,26.305343300045934,26.3384681000025,26.3384681000025,27.28057020000415,1,0.9487912000040524,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
mouse,,,,0,14,14,8,,,,,27.299518100044224,,27.280801800021436,27.299518100044224,27.299518100044224,28.214411000022665,1,0.9121906999498606,,,,,,,,,,,,,,,959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,p_nc_l,pencil,new,,,,,0,0,0,16,28.232684200047515,,,,,,,,28.220214200031478,28.232684200047515,28.232684200047515,28.232684200047515,0.008821800001896918,34.698796300042886,pencil,[-0.006944444444444444],[-0.26967592592592593],[1],[0],[0],[6.474402700026985],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,bo_t_e,bottle,new,,,,,0,1,1,18,34.72268050001003,,,,,,,,34.70100540004205,34.72268050001003,34.72268050001003,34.72268050001003,0.005850400018971413,44.71259690000443,bottle,[],[],[],[],[],[],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,ta_l_,table,new,,,,,0,2,2,15,44.73888060002355,,,,,,,,44.7140730000101,44.73888060002355,44.73888060002355,44.73888060002355,0.022058700036723167,54.71296350000193,ta,[],[],[],[],[],[],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,v_s_,vase,new,,,,,0,3,3,17,54.73724430002039,,,,,,,,54.714004200010095,54.73724430002039,54.73724430002039,54.73724430002039,0.021127500047441572,59.84765880001942,"vase
",[-0.006944444444444444],[-0.26967592592592593],[1],[0],[0],[5.124784999992698],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,_a_bl_,marble,old,,,,,0,4,4,11,59.87280180002563,,,,,,,,59.84895930002676,59.87280180002563,59.87280180002563,59.87280180002563,0.005588800006080419,66.58071310003288,marble,[-0.006944444444444444],[-0.26851851851851855],[1],[0],[0],[6.725363599951379],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
,c_s_,case,old,,,,,0,5,5,5,66.60302440001396,,,,,,,,66.58193300000858,66.60302440001396,66.60302440001396,66.60302440001396,0.004785700002685189,70.41410310001811,case,[-0.006944444444444444],[-0.26851851851851855],[1],[0],[0],[3.826619200001005],[],959827,001,2024-11-03_18h37.08.588,word priming,2024.1.5,None,2024-11-03 18h37.11.420381 +0530,
