study_word,test_word,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,text.stopped,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_2.stopped,textbox.stopped,text_3.stopped,mouse.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
cruise,,,,0,0,0,11,,,,,0.04593380005098879,,0.009486899944022298,0.04593380005098879,0.04593380005098879,8.052283599972725,8.171835700049996,1,8.135161299956962,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
book,,,,0,1,1,0,,,,,8.19132940005511,,8.176006800029427,8.19132940005511,8.19132940005511,,15.588539400021546,5,7.391000799951144,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
mouse,,,,0,2,2,8,,,,,15.603989199968055,,15.588771900045685,15.603989199968055,15.603989199968055,,21.60509379999712,1,5.994968800107017,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
phone,,,,0,3,3,2,,,,,21.622640499961562,,21.605314300046302,21.622640499961562,21.622640499961562,,24.05496810004115,1.0277777777777777,2.4263889000285417,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
keys,,,,0,4,4,13,,,,,24.071282500051893,,24.05518879997544,24.071282500051893,24.071282500051893,,27.28866239998024,4.99537037037037,3.2111118000466377,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
chart,,,,0,5,5,6,,,,,27.3051901999861,,27.28888420003932,27.3051901999861,27.3051901999861,,31.455495100002736,1.0046296296296295,4.143900400027633,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
marble,,,,0,6,6,3,,,,,31.47048200003337,,31.45571380003821,31.47048200003337,31.47048200003337,,33.32167400000617,1.0046296296296295,1.8450543000362813,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
pastry,,,,0,7,7,9,,,,,33.33674279996194,,33.32189619995188,33.33674279996194,33.33674279996194,,34.55522259999998,1.0046296296296295,1.2120999000035226,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
board,,,,0,8,8,4,,,,,34.57168819999788,,34.555467600002885,34.57168819999788,34.57168819999788,,35.62202939996496,1.0046296296296295,1.0440241999458522,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
t-shirt,,,,0,9,9,7,,,,,35.64173459995072,,35.62224910000805,35.64173459995072,35.64173459995072,,36.638632499962114,1.0046296296296295,0.9923912000376731,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
poster,,,,0,10,10,14,,,,,36.65334860002622,,36.638855800032616,36.65334860002622,36.65334860002622,,37.70557500002906,1.0046296296296295,1.045379100018181,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
police,,,,0,11,11,12,,,,,37.72053369996138,,37.70579849998467,37.72053369996138,37.72053369996138,,41.93879990000278,5,4.211743399966508,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
laptop,,,,0,12,12,5,,,,,41.953980699996464,,41.9390230999561,41.953980699996464,41.953980699996464,,46.33885810000356,1.0324074074074074,4.378357999958098,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
cushion,,,,0,13,13,1,,,,,46.35420739999972,,46.33909579995088,46.35420739999972,46.35420739999972,,47.422119199996814,1.0324074074074074,1.061791899963282,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
case,,,,0,14,14,10,,,,,47.4377797000343,,47.42234179994557,47.4377797000343,47.4377797000343,,48.40540719998535,1.0324074074074074,0.962005199980922,,,,,,,,,,,,,,,,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
,_ru_s_,cruise,old,,,,,0,0,0,6,48.42282320000231,,,,,,,,,48.4110014999751,48.42282320000231,48.42282320000231,48.42282320000231,0.00840649998281151,58.41942879999988,ci,[],[],[],[],[],[],[],,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
,_ou_e,mouse,old,,,,,0,1,1,3,58.43607679998968,,,,,,,,,58.420288200024515,58.43607679998968,58.43607679998968,58.43607679998968,0.016874299966730177,68.41924720001407,emoise,[],[],[],[],[],[],[],,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
,c_s_,case,old,,,,,0,2,2,5,68.43583269999363,,,,,,,,,68.41976189997513,68.43583269999363,68.43583269999363,68.43583269999363,0.016209099907428026,69.82088530005421,,[-0.4837962962962963],[0.10416666666666667],[1],[0],[0],[1.3982640999602154],[],,,,,423124,001,2024-11-04_18h28.04.644,word priming,2024.1.5,None,2024-11-04 18h28.07.243284 +0530,
